epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
74,264.651,1.21636,1.46527,1.12075,0.00996,0.56021,0.47826,0.44113,0.40598,0.21519,0.46739,0.40148,0.3757,0.21151,1.82851,3.21534,2.19239,0.02167,0,0.0157719,0.00525728,0.0157719,0.00525728,0.0157719,0.00525728,0.0157719,0.00525728
75,315.556,1.20535,1.42684,1.13103,0.00956,0.61804,0.46978,0.51162,0.43515,0.21842,0.48766,0.43819,0.40454,0.22329,1.81976,3.18492,2.21194,0.02132,0,0.015461,0.00515366,0.015461,0.00515366,0.015461,0.00515366,0.015461,0.00515366
76,366.638,1.19774,1.47001,1.12394,0.00942,0.59259,0.41887,0.4933,0.3945,0.20427,0.46278,0.40248,0.37145,0.20228,1.8057,2.97458,2.28853,0.02104,0,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
77,417.832,1.15703,1.41701,1.06869,0.00915,0.57125,0.46109,0.41541,0.36882,0.18944,0.49142,0.38953,0.36073,0.19295,1.79233,2.95728,2.31497,0.02106,0,0.014839,0.00494634,0.014839,0.00494634,0.014839,0.00494634,0.014839,0.00494634
78,469.072,1.14845,1.42988,1.05656,0.00904,0.56896,0.44141,0.42867,0.39953,0.20837,0.41039,0.46676,0.38781,0.21299,1.81812,3.20521,2.1132,0.02161,0,0.0145281,0.00484272,0.0145281,0.00484272,0.0145281,0.00484272,0.0145281,0.00484272
79,520.93,1.18456,1.37103,1.05518,0.00909,0.59212,0.59778,0.3694,0.41414,0.21828,0.49486,0.39901,0.40005,0.21632,1.7726,3.26587,2.41649,0.02067,0,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919
80,573.025,1.16626,1.39461,1.00771,0.00865,0.52982,0.43337,0.46392,0.42099,0.21386,0.52492,0.38223,0.39809,0.21562,1.8025,3.2242,2.26461,0.02129,0,0.0139074,0.00463579,0.0139074,0.00463579,0.0139074,0.00463579,0.0139074,0.00463579
81,624.801,1.12629,1.36809,1.00168,0.00897,0.53122,0.55148,0.41979,0.41758,0.21645,0.55698,0.40919,0.40098,0.21698,1.83377,3.26067,2.27499,0.02184,0,0.0135978,0.00453258,0.0135978,0.00453258,0.0135978,0.00453258,0.0135978,0.00453258
82,675.946,1.15163,1.36969,0.99382,0.00896,0.56169,0.42768,0.48593,0.42337,0.22974,0.45696,0.44282,0.39347,0.22116,1.79906,3.12145,2.2131,0.02179,0,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296
83,727.689,1.15155,1.39479,0.99282,0.00874,0.50536,0.46857,0.4458,0.41084,0.22257,0.48832,0.42118,0.39137,0.21908,1.86755,3.16404,2.26412,0.0221,0,0.0129807,0.00432689,0.0129807,0.00432689,0.0129807,0.00432689,0.0129807,0.00432689
